issue_number,issue_title,issue_body_md,issue_body_plain,issue_created_at,issue_author_id,issue_author_association,issue_label_ids,pull_number,pull_created_at,pull_merged_at,pull_comments,pull_review_comments,pull_commits,pull_additions,pull_deletions,pull_changed_files
79,make chanotify to work with interface{} keys,"It a lot useful to have interface{} keys rather than string keys in Add. It allows users to export a symbol and use it as an identifier without worrying about the uniqueness.

``` go
package a

var Key = struct{}{}

package main
func main() {
    // ...
    n.Add(ch, a.Key)
}
```

Key from the a namespace will be guaranteed to be unique. We use a similar pattern in [x/net/context](https://godoc.org/golang.org/x/net/context#WithValue).

``` go
- func (s *Notifier) Add(ch <-chan struct{}, id string) 
+ func (s *Notifier) Add(ch <-chan struct{}, id interface{}) 
```
","It a lot useful to have interface{} keys rather than string keys in Add. It allows users to export a symbol and use it as an identifier without worrying about the uniqueness.
``` go
package a
var Key = struct{}{}
package main
func main() {
    // ...
    n.Add(ch, a.Key)
}
```
Key from the a namespace will be guaranteed to be unique. We use a similar pattern in x/net/context.
go
- func (s *Notifier) Add(ch <-chan struct{}, id string) 
+ func (s *Notifier) Add(ch <-chan struct{}, id interface{})",1453360028,108380,1,,83,1453479382,1453489370,2,0,2,32,32,4
75,Expand relative paths given to `ctr containers start`,"Specifying a relative path to `ctr containers start` results in a file not found error. It would be more user-friendly for the client to expand the path to an absolute path based on the CWD if necessary.
",Specifying a relative path to ctr containers start results in a file not found error. It would be more user-friendly for the client to expand the path to an absolute path based on the CWD if necessary.,1452904148,10601430,1,,91,1453780091,1453932760,3,0,1,6,2,1
76,Systemusage and memory.limit not in stats,"When comparing stats types with the ones provided in https://github.com/docker/engine-api/blob/master/types/stats.go `CPUStats.SystemUsage` and `MemoryStats.Limit` seem to be missing.
",When comparing stats types with the ones provided in https://github.com/docker/engine-api/blob/master/types/stats.go CPUStats.SystemUsage and MemoryStats.Limit seem to be missing.,1453154474,585223,1,,99,1454540162,1456251342,1,0,1,180,98,3
76,Systemusage and memory.limit not in stats,"When comparing stats types with the ones provided in https://github.com/docker/engine-api/blob/master/types/stats.go `CPUStats.SystemUsage` and `MemoryStats.Limit` seem to be missing.
",When comparing stats types with the ones provided in https://github.com/docker/engine-api/blob/master/types/stats.go CPUStats.SystemUsage and MemoryStats.Limit seem to be missing.,1453154474,585223,1,,100,1454543289,1456253825,4,0,2,130,118,3
50,"Add types.EventType, use in supervisor package","This is re: additional suggestions for https://github.com/docker/containerd/pull/48 - I wanted to send one or two in smaller CLs to give you a little flavor of what I'm talking about.

Overall, I would think to use the messages in api/types as the base data type for supervisor. Using protobuf generated messages as DTOs is a general big win for consistency, and it forces a programming style that can lead to less bugs down the road. As an example here, instead of having `type EventType string`, we've used protobuf to generate an `int32` enum for us. By being an int instead of a string, developers are almost forced to use actual enum const values as opposed to freeform strings, the latter of which can lead to types in the codebase that are not tracked as consts (https://github.com/docker/containerd/blob/1d63236c2711e1f9567792daa9f81f263229075c/api/grpc/server/server.go#L234 and https://github.com/docker/containerd/blob/1d63236c2711e1f9567792daa9f81f263229075c/api/grpc/server/server.go#L241).

Let me know what you think.
","This is re: additional suggestions for https://github.com/docker/containerd/pull/48 - I wanted to send one or two in smaller CLs to give you a little flavor of what I'm talking about.
Overall, I would think to use the messages in api/types as the base data type for supervisor. Using protobuf generated messages as DTOs is a general big win for consistency, and it forces a programming style that can lead to less bugs down the road. As an example here, instead of having type EventType string, we've used protobuf to generate an int32 enum for us. By being an int instead of a string, developers are almost forced to use actual enum const values as opposed to freeform strings, the latter of which can lead to types in the codebase that are not tracked as consts (https://github.com/docker/containerd/blob/1d63236c2711e1f9567792daa9f81f263229075c/api/grpc/server/server.go#L234 and https://github.com/docker/containerd/blob/1d63236c2711e1f9567792daa9f81f263229075c/api/grpc/server/server.go#L241).
Let me know what you think.",1450442403,4228796,1,,106,1455744556,1456167761,4,8,1,265,359,15
113,Switch to the new vendor directory layout,"Forking the discussion from https://github.com/docker/containerd/pull/111#issuecomment-188981270...

We need to checkout the dependencies to the /vendor directory, not /vendor/src. The go tool can recognize the vendored packages and import them from /vendor rather than their canonical GOPATH location.
","Forking the discussion from https://github.com/docker/containerd/pull/111#issuecomment-188981270...
We need to checkout the dependencies to the /vendor directory, not /vendor/src. The go tool can recognize the vendored packages and import them from /vendor rather than their canonical GOPATH location.",1456439538,108380,1,,132,1458104013,1458171841,9,0,2,12,10,807
165,ctr: inability to connect to grpc causes hang,"If you run `ctr` commands without sufficient privileges to connect to the `grpc` socket, the command will _not_ fail. It will just hang indefinitely. It should error out instead.
","If you run ctr commands without sufficient privileges to connect to the grpc socket, the command will not fail. It will just hang indefinitely. It should error out instead.",1459143666,2888411,1,,166,1459185036,1459185831,4,0,2,8,1,3
164,add socket activation,"In order to package containerd properly with systemd, containerd should have support for socket activation (similar to how Docker has socket activation).
","In order to package containerd properly with systemd, containerd should have support for socket activation (similar to how Docker has socket activation).",1459118679,2888411,1,,178,1459394868,1461354755,14,4,4,3207,39,41
193,Issues building on ppc64le and i586 (gcc-go).,"When trying to build on `master` (which you can see in [this OBS repo](https://build.opensuse.org/package/show/Virtualization:containers:experimental/containerd)), you get the following error:

```
% go-5 build '-gccgoflags=-Wl,--add-needed -Wl,--no-as-needed -static-libgo -ldl' -x -o containerd-0.1.0+git389483d github.com/docker/containerd/containerd
vendor/src/github.com/docker/containerd/supervisor/monitor_linux.go:8:2: no buildable Go source files in /home/abuild/rpmbuild/BUILD/containerd-git.389483d/vendor/src/github.com/docker/containerd/archutils
```

This doesn't happen on `0.1.0`, so it's clearly a regression. I can't figure out why it's failing, because both of the files in `archutils` should work properly.
","When trying to build on master (which you can see in this OBS repo), you get the following error:
% go-5 build '-gccgoflags=-Wl,--add-needed -Wl,--no-as-needed -static-libgo -ldl' -x -o containerd-0.1.0+git389483d github.com/docker/containerd/containerd
vendor/src/github.com/docker/containerd/supervisor/monitor_linux.go:8:2: no buildable Go source files in /home/abuild/rpmbuild/BUILD/containerd-git.389483d/vendor/src/github.com/docker/containerd/archutils
This doesn't happen on 0.1.0, so it's clearly a regression. I can't figure out why it's failing, because both of the files in archutils should work properly.",1460456873,2888411,1,,194,1460526804,1460527110,2,0,1,0,0,1
193,Issues building on ppc64le and i586 (gcc-go).,"When trying to build on `master` (which you can see in [this OBS repo](https://build.opensuse.org/package/show/Virtualization:containers:experimental/containerd)), you get the following error:

```
% go-5 build '-gccgoflags=-Wl,--add-needed -Wl,--no-as-needed -static-libgo -ldl' -x -o containerd-0.1.0+git389483d github.com/docker/containerd/containerd
vendor/src/github.com/docker/containerd/supervisor/monitor_linux.go:8:2: no buildable Go source files in /home/abuild/rpmbuild/BUILD/containerd-git.389483d/vendor/src/github.com/docker/containerd/archutils
```

This doesn't happen on `0.1.0`, so it's clearly a regression. I can't figure out why it's failing, because both of the files in `archutils` should work properly.
","When trying to build on master (which you can see in this OBS repo), you get the following error:
% go-5 build '-gccgoflags=-Wl,--add-needed -Wl,--no-as-needed -static-libgo -ldl' -x -o containerd-0.1.0+git389483d github.com/docker/containerd/containerd
vendor/src/github.com/docker/containerd/supervisor/monitor_linux.go:8:2: no buildable Go source files in /home/abuild/rpmbuild/BUILD/containerd-git.389483d/vendor/src/github.com/docker/containerd/archutils
This doesn't happen on 0.1.0, so it's clearly a regression. I can't figure out why it's failing, because both of the files in archutils should work properly.",1460456873,2888411,1,,195,1460540760,1461002055,8,1,2,22,21,2
211,daemon option selinux-enabled=true leads to permission denied on /dev in a container on a rhel7.2 selinux system,"I installed docker 1.11 on a hardened rhel7.2 system with selinux in enforcing mode. When I add the option `selinux-enabled=true` to the docker daemon and run a container I can't get access to `/dev` (and probably other problems.

How to reproduce:
- install as mentioned
- change docker daemon options to include `--selinux-enabled=true`
- run a container `docker run -it alpine /bin/sh`
- run `ls /dev` in the container
- result is a `permission denied` message

After analysis it looks like the difference is due to the process label that is added to the `runc` process.
With `selinux-enabled=true` the label is `svirt_lxc_net_t` with `selinux-enabled=false` the label is `spc_t`
As a consequence I get a `denied` message in `/var/log/audit/audit.log`:

```
type=AVC msg=audit(1461154725.310:2115): avc:  denied  { read } for  pid=11869 comm=""ls"" name=""/"" dev=""tmpfs"" ino=1160672 scontext=system_u:system_r:svirt_lxc_net_t:s0:c187,c658 tcontext=system_u:object_r:docker_tmpfs_t:s0 tclass=dir
```

using `ps -efZ` on the correct process (the sh process in the alpine container and its parent) shows

```
system_u:system_r:docker_t:s0   root     11798 11690  0 13:57 ?        00:00:00 docker-containerd-shim d54269abe4604e71bebc552422f2f4728b1b818b471b27470de940f7882bf12e /var/run/docker/libcontainerd/d54269abe4604e71bebc552422f2f4728b1b818b471b27470de940f7882bf12e docker-runc
system_u:system_r:svirt_lxc_net_t:s0:c187,c658 root 11812 11798  0 13:57 pts/1 00:00:00 /bin/sh
```

The same action done without `selinux-enabled=true` shows the following using `ps -efZ`:

```
system_u:system_r:docker_t:s0   root     12044 11933  0 14:26 ?        00:00:00 docker-containerd-shim ab1b150c15b92677abf0462ebcd29a759da168446a41d0749c927cd725ae3941 /var/run/docker/libcontainerd/ab1b150c15b92677abf0462ebcd29a759da168446a41d0749c927cd725ae3941 docker-runc
system_u:system_r:spc_t:s0      root     12057 12044  0 14:26 pts/1    00:00:00 /bin/sh
```

The selinux policy file in the docker repo has rules for `spc_t` but not for `svirt_lxc_net_t`

I created this issue on the containerd repository because containerd is the parent proces of the container itself. As I understand selinux (after digging for half a day :-( ) and finding [this link](https://wiki.gentoo.org/wiki/SELinux/Tutorials/How_does_a_process_get_into_a_certain_context) this would mean that the context is changed in containerd?

To me it seems that either the `docker-engine-selinux` policy file should be changed or the transitioning to `svirt_lcx_net_t` should not be done?

regards,
Rick
","I installed docker 1.11 on a hardened rhel7.2 system with selinux in enforcing mode. When I add the option selinux-enabled=true to the docker daemon and run a container I can't get access to /dev (and probably other problems.
How to reproduce:
- install as mentioned
- change docker daemon options to include --selinux-enabled=true
- run a container docker run -it alpine /bin/sh
- run ls /dev in the container
- result is a permission denied message
After analysis it looks like the difference is due to the process label that is added to the runc process.
With selinux-enabled=true the label is svirt_lxc_net_t with selinux-enabled=false the label is spc_t
As a consequence I get a denied message in /var/log/audit/audit.log:
type=AVC msg=audit(1461154725.310:2115): avc:  denied  { read } for  pid=11869 comm=""ls"" name=""/"" dev=""tmpfs"" ino=1160672 scontext=system_u:system_r:svirt_lxc_net_t:s0:c187,c658 tcontext=system_u:object_r:docker_tmpfs_t:s0 tclass=dir
using ps -efZ on the correct process (the sh process in the alpine container and its parent) shows
system_u:system_r:docker_t:s0   root     11798 11690  0 13:57 ?        00:00:00 docker-containerd-shim d54269abe4604e71bebc552422f2f4728b1b818b471b27470de940f7882bf12e /var/run/docker/libcontainerd/d54269abe4604e71bebc552422f2f4728b1b818b471b27470de940f7882bf12e docker-runc
system_u:system_r:svirt_lxc_net_t:s0:c187,c658 root 11812 11798  0 13:57 pts/1 00:00:00 /bin/sh
The same action done without selinux-enabled=true shows the following using ps -efZ:
system_u:system_r:docker_t:s0   root     12044 11933  0 14:26 ?        00:00:00 docker-containerd-shim ab1b150c15b92677abf0462ebcd29a759da168446a41d0749c927cd725ae3941 /var/run/docker/libcontainerd/ab1b150c15b92677abf0462ebcd29a759da168446a41d0749c927cd725ae3941 docker-runc
system_u:system_r:spc_t:s0      root     12057 12044  0 14:26 pts/1    00:00:00 /bin/sh
The selinux policy file in the docker repo has rules for spc_t but not for svirt_lxc_net_t
I created this issue on the containerd repository because containerd is the parent proces of the container itself. As I understand selinux (after digging for half a day :-( ) and finding this link this would mean that the context is changed in containerd?
To me it seems that either the docker-engine-selinux policy file should be changed or the transitioning to svirt_lcx_net_t should not be done?
regards,
Rick",1461155672,3867935,6,,232,1462387083,1462387414,1,0,1,19,8,5
